player_id,name,position,goals,assists,points,shots,timeOnIcePerGame
8478402,Connor McDavid,C,26,48,74,173,20.78
8477934,Leon Draisaitl,C,29,43,72,160,21.35
8476453,Nikita Kucherov,RW,24,41,65,158,18.11
8477492,Nathan MacKinnon,C,25,39,64,233,20.22
8478550,Artemi Panarin,LW,21,42,63,150,19.47
8477956,David Pastrnak,RW,30,32,62,201,18.1
8471215,Evgeni Malkin,C,20,40,60,153,18.5
8476459,Mika Zibanejad,C,30,29,59,180,20.36
8478483,Mitchell Marner,C,16,43,59,149,20.23
8479318,Auston Matthews,C,33,26,59,214,19.63
8474141,Patrick Kane,RW,23,36,59,200,20.32
8473419,Brad Marchand,LW,20,39,59,139,18.52
8478403,Jack Eichel,C,24,33,57,188,20.72
8471675,Sidney Crosby,C,19,37,56,139,19.31
8474564,Steven Stamkos,C,24,32,56,155,17.57
8476456,Jonathan Huberdeau,LW,18,37,55,127,17.9
8476460,Mark Scheifele,C,22,31,53,130,20.63
8478420,Mikko Rantanen,RW,21,32,53,140,18.38
8477404,Jake Guentzel,C,25,27,52,165,19.44
8478010,Brayden Point,C,21,30,51,123,17.99
8477493,Aleksander Barkov,C,17,33,50,137,19.25
8475913,Mark Stone,RW,19,31,50,135,18.48
8471214,Alex Ovechkin,LW,31,18,49,217,19.62
8478427,Sebastian Aho,RW,24,25,49,160,18.55
8478398,Kyle Connor,LW,25,24,49,172,19.8
8476468,J.T. Miller,C,18,31,49,121,18.55
8471218,Blake Wheeler,RW,14,34,48,133,18.53
8475791,Taylor Hall,LW,16,32,48,179,18.31
8475166,John Tavares,C,22,26,48,166,18.55
8470638,Patrice Bergeron,C,23,25,48,163,17.81
8476346,Johnny Gaudreau,LW,16,32,48,154,18.02
8474590,John Carlson,D,9,38,47,132,23.21
8476882,Teuvo Teravainen,LW,13,34,47,135,18.15
8476454,Ryan Nugent-Hopkins,C,18,28,46,140,19.38
8479314,Matthew Tkachuk,LW,19,27,46,146,17.41
8475158,Ryan O'Reilly,C,13,33,46,110,19.6
8478445,Mathew Barzal,C,14,32,46,135,18.83
8476455,Gabriel Landeskog,LW,20,25,45,149,19.2
8476461,Sean Couturier,C,17,27,44,139,19.05
8479339,Patrik Laine,RW,22,22,44,176,18.25
8475810,Bryan Rust,RW,21,23,44,137,18.4
8473604,Jonathan Toews,C,15,28,43,133,18.92
8475744,Evgeny Kuznetsov,C,15,28,43,116,17.09
8473563,Nicklas Backstrom,C,11,32,43,111,18.23
8478444,Brock Boeser,RW,17,25,42,158,17.77
8477496,Elias Lindholm,C,19,23,42,128,18.79
8476881,Tomas Hertl,C,19,23,42,127,17.66
8477511,Anthony Mantha,RW,19,23,42,164,17.9
8471685,Anze Kopitar,C,15,27,42,104,20.06
8474102,David Perron,LW,18,24,42,118,17.35
8477946,Dylan Larkin,C,16,26,42,176,20.18
8473512,Claude Giroux,C,14,28,42,142,18.27
8478439,Travis Konecny,C,17,24,41,120,15.97
8475794,Tyler Seguin,C,16,25,41,185,18.35
8477497,Sean Monahan,C,18,23,41,131,17.37
8475170,Brayden Schenn,C,16,25,41,109,17.55
