player_id,name,position,G,A,points,shots,timeOnIcePerGame
8478402,CONNOR MCDAVID,C,26,48,74,173,20.78
8477934,LEON DRAISAITL,C,29,43,72,160,21.35
8476453,NIKITA KUCHEROV,RW,24,41,65,158,18.11
8477492,NATHAN MACKINNON,C,25,39,64,233,20.22
8478550,ARTEMI PANARIN,LW,21,42,63,150,19.47
8477956,DAVID PASTRNAK,RW,30,32,62,201,18.1
8471215,EVGENI MALKIN,C,20,40,60,153,18.5
8476459,MIKA ZIBANEJAD,C,30,29,59,180,20.36
8478483,MITCHELL MARNER,C,16,43,59,149,20.23
8479318,AUSTON MATTHEWS,C,33,26,59,214,19.63
8474141,PATRICK KANE,bench,23,36,59,200,20.32
8473419,BRAD MARCHAND,LW,20,39,59,139,18.52
8478403,JACK EICHEL,C,24,33,57,188,20.72
8471675,SIDNEY CROSBY,C,19,37,56,139,19.31
8474564,STEVEN STAMKOS,C,24,32,56,155,17.57
8476456,JONATHAN HUBERDEAU,LW,18,37,55,127,17.9
8476460,MARK SCHEIFELE,C,22,31,53,130,20.63
8478420,MIKKO RANTANEN,RW,21,32,53,140,18.38
8477404,JAKE GUENTZEL,C,25,27,52,165,19.44
8478010,BRAYDEN POINT,C,21,30,51,123,17.99
8477493,ALEKSANDER BARKOV,C,17,33,50,137,19.25
8475913,MARK STONE,RW,19,31,50,135,18.48
8471214,ALEX OVECHKIN,LW,31,18,49,217,19.62
8478427,SEBASTIAN AHO,RW,24,25,49,160,18.55
8478398,KYLE CONNOR,LW,25,24,49,172,19.8
8476468,J.T. MILLER,C,18,31,49,121,18.55
8471218,BLAKE WHEELER,RW,14,34,48,133,18.53
8475791,TAYLOR HALL,LW,16,32,48,179,18.31
8475166,JOHN TAVARES,C,22,26,48,166,18.55
8470638,PATRICE BERGERON,C,23,25,48,163,17.81
8476346,JOHNNY GAUDREAU,LW,16,32,48,154,18.02
8474590,JOHN CARLSON,D,9,38,47,132,23.21
8476882,TEUVO TERAVAINEN,LW,13,34,47,135,18.15
8476454,RYAN NUGENT-HOPKINS,C,18,28,46,140,19.38
8479314,MATTHEW TKACHUK,LW,19,27,46,146,17.41
8475158,RYAN O'REILLY,C,13,33,46,110,19.6
8478445,MATHEW BARZAL,C,14,32,46,135,18.83
8476455,GABRIEL LANDESKOG,LW,20,25,45,149,19.2
8476461,SEAN COUTURIER,C,17,27,44,139,19.05
8479339,PATRIK LAINE,RW,22,22,44,176,18.25
8475810,BRYAN RUST,RW,21,23,44,137,18.4
8473604,JONATHAN TOEWS,C,15,28,43,133,18.92
8475744,EVGENY KUZNETSOV,C,15,28,43,116,17.09
8473563,NICKLAS BACKSTROM,C,11,32,43,111,18.23
8478444,BROCK BOESER,RW,17,25,42,158,17.77
8477496,ELIAS LINDHOLM,C,19,23,42,128,18.79
8476881,TOMAS HERTL,C,19,23,42,127,17.66
8477511,ANTHONY MANTHA,RW,19,23,42,164,17.9
8471685,ANZE KOPITAR,C,15,27,42,104,20.06
8474102,DAVID PERRON,LW,18,24,42,118,17.35
8477946,DYLAN LARKIN,C,16,26,42,176,20.18
8473512,CLAUDE GIROUX,C,14,28,42,142,18.27
